PJME_MW,dow,doy,year,month,quarter,hour,weekday,woy,dom,season,weekend
31982.0,0,215,2009,8,3,0,0,32,3,3,0
29645.0,0,215,2009,8,3,1,0,32,3,3,0
27818.0,0,215,2009,8,3,2,0,32,3,3,0
26889.0,0,215,2009,8,3,3,0,32,3,3,0
26303.0,0,215,2009,8,3,4,0,32,3,3,0
26704.0,0,215,2009,8,3,5,0,32,3,3,0
28185.0,0,215,2009,8,3,6,0,32,3,3,0
30302.0,0,215,2009,8,3,7,0,32,3,3,0
33216.0,0,215,2009,8,3,8,0,32,3,3,0
35954.0,0,215,2009,8,3,9,0,32,3,3,0
38561.0,0,215,2009,8,3,10,0,32,3,3,0
40923.0,0,215,2009,8,3,11,0,32,3,3,0
42870.0,0,215,2009,8,3,12,0,32,3,3,0
44165.0,0,215,2009,8,3,13,0,32,3,3,0
45373.0,0,215,2009,8,3,14,0,32,3,3,0
46215.0,0,215,2009,8,3,15,0,32,3,3,0
46877.0,0,215,2009,8,3,16,0,32,3,3,0
47434.0,0,215,2009,8,3,17,0,32,3,3,0
47334.0,0,215,2009,8,3,18,0,32,3,3,0
45782.0,0,215,2009,8,3,19,0,32,3,3,0
43608.0,0,215,2009,8,3,20,0,32,3,3,0
42829.0,0,215,2009,8,3,21,0,32,3,3,0
41271.0,0,215,2009,8,3,22,0,32,3,3,0
37610.0,0,215,2009,8,3,23,0,32,3,3,0
33835.0,1,216,2009,8,3,0,1,32,4,3,0
30777.0,1,216,2009,8,3,1,1,32,4,3,0
28708.0,1,216,2009,8,3,2,1,32,4,3,0
27374.0,1,216,2009,8,3,3,1,32,4,3,0
26655.0,1,216,2009,8,3,4,1,32,4,3,0
26733.0,1,216,2009,8,3,5,1,32,4,3,0
28079.0,1,216,2009,8,3,6,1,32,4,3,0
30121.0,1,216,2009,8,3,7,1,32,4,3,0
33045.0,1,216,2009,8,3,8,1,32,4,3,0
36081.0,1,216,2009,8,3,9,1,32,4,3,0
38900.0,1,216,2009,8,3,10,1,32,4,3,0
41706.0,1,216,2009,8,3,11,1,32,4,3,0
44119.0,1,216,2009,8,3,12,1,32,4,3,0
45891.0,1,216,2009,8,3,13,1,32,4,3,0
47386.0,1,216,2009,8,3,14,1,32,4,3,0
48384.0,1,216,2009,8,3,15,1,32,4,3,0
48977.0,1,216,2009,8,3,16,1,32,4,3,0
49359.0,1,216,2009,8,3,17,1,32,4,3,0
