Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,Multiple_deliveries,Festival,City_type,Time_taken(min),distance_km,is_weekend,month_intervals,year_quarter,order_prepare_time
37.0,4.8,conditions Cloudy,High ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,28,1.158,False,end_month,1,10.0
28.0,4.2,conditions Stormy,Low ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,16,3.424,False,start_month,1,15.0
24.0,4.6,conditions Windy,Medium ,2,Buffet ,motorcycle ,0.0,No ,Metropolitian ,28,8.011,False,start_month,1,15.0
34.0,4.0,conditions Windy,High ,1,Meal ,scooter ,1.0,No ,Urban ,32,4.63,False,start_month,1,10.0
28.0,4.8,conditions Sunny,Jam ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,26,17.298,False,middle_month,1,5.0
32.0,4.6,conditions Fog,Medium ,1,Meal ,motorcycle ,1.0,No ,Metropolitian ,40,14.878,False,middle_month,1,5.0
24.0,4.7,conditions Fog,Low ,0,Meal ,motorcycle ,1.0,No ,Metropolitian ,15,1.573,False,end_month,1,5.0
37.0,4.7,conditions Fog,Low ,1,Meal ,scooter ,1.0,No ,Metropolitian ,25,10.257,True,start_month,2,5.0
29.585221590422037,4.7,conditions Sunny,Jam ,1,Buffet ,motorcycle ,1.0,No ,Urban ,12,9.435,False,end_month,1,10.0
28.0,4.9,conditions Cloudy,Jam ,2,Drinks ,scooter ,0.0,No ,Metropolitian ,33,3.424,False,start_month,1,10.0
24.0,4.9,conditions Windy,Jam ,0,Snack ,motorcycle ,1.0,No ,Metropolitian ,38,3.433,False,end_month,1,5.0
24.0,4.7,conditions Fog,Low ,2,Snack ,electric_scooter ,1.0,No ,Metropolitian ,20,12.698,False,start_month,1,15.0
22.0,4.5,conditions Cloudy,Low ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,20,5.724,False,end_month,1,5.0
30.0,3.5,conditions Windy,Jam ,2,Drinks ,motorcycle ,0.0,No ,Metropolitian ,38,12.507,False,end_month,1,5.0
